Alias,Algorithm,Family,Role,CaseID,AnchorIndex,WTL
A-C4,MPHBS_SARSA_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,6,9,9/0/21
A-C4,MPHBS_SARSA_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,7,9,11/0/19
A-C4,MPHBS_SARSA_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,8,9,11/0/19
RA-C4,MPHBS_RANDOM_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,1,9,14/0/16
RA-C4,MPHBS_RANDOM_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,2,9,14/0/16
RA-C4,MPHBS_RANDOM_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,3,9,13/0/17
RA-C4,MPHBS_RANDOM_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,4,9,19/0/11
RA-C4,MPHBS_RANDOM_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,5,9,14/0/16
RA-C4,MPHBS_RANDOM_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,6,9,9/0/21
RA-C4,MPHBS_RANDOM_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,7,9,10/0/20
RA-C4,MPHBS_RANDOM_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,8,9,7/0/23
MPHB,MPHB_BASE,MPHB,BASELINE,1,9,2/0/28
MPHB,MPHB_BASE,MPHB,BASELINE,2,9,1/0/29
MPHB,MPHB_BASE,MPHB,BASELINE,3,9,0/0/30
MPHB,MPHB_BASE,MPHB,BASELINE,4,9,0/0/30
MPHB,MPHB_BASE,MPHB,BASELINE,5,9,0/0/30
MPHB,MPHB_BASE,MPHB,BASELINE,6,9,0/0/30
MPHB,MPHB_BASE,MPHB,BASELINE,7,9,0/0/30
MPHB,MPHB_BASE,MPHB,BASELINE,8,9,1/0/29
